Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,3.230000,3.810000,3.230000,3.770000,3.616655,23488900
2020-07-22,3.680000,3.780000,3.570000,3.580000,3.434384,11714000
2020-07-23,3.650000,3.720000,3.610000,3.680000,3.530316,5961400
2020-07-24,3.470000,3.520000,3.360000,3.510000,3.367231,16851100
2020-07-27,3.440000,3.540000,3.420000,3.460000,3.319265,6515800
2020-07-28,3.500000,3.510000,3.370000,3.490000,3.348044,7446100
2020-07-29,3.480000,3.620000,3.440000,3.520000,3.376824,9142300
2020-07-30,3.560000,3.580000,3.500000,3.570000,3.424790,5697900
2020-08-03,3.610000,3.780000,3.600000,3.660000,3.511129,9718700
2020-08-04,3.960000,4.230000,3.930000,4.190000,4.019572,25108300
2020-08-05,4.230000,4.280000,4.110000,4.180000,4.009978,10803300
2020-08-06,4.200000,4.330000,4.150000,4.290000,4.115505,7099100
2020-08-07,4.340000,4.350000,4.210000,4.220000,4.048351,3341100
2020-08-11,4.230000,4.250000,4.150000,4.200000,4.029165,2771900
2020-08-12,4.160000,4.180000,4.110000,4.150000,3.981199,2811300
2020-08-13,4.190000,4.230000,4.120000,4.150000,3.981199,4370500
2020-08-14,4.180000,4.180000,4.050000,4.050000,3.885266,4197600
2020-08-17,4.090000,4.140000,4.020000,4.020000,3.856487,2454600
2020-08-18,4.050000,4.080000,3.970000,4.000000,3.837300,3387200
